,I0,min_X0_for_Xstar_ge_0.9
0,0.0,0.21052631578947367
1,0.05263157894736842,0.2631578947368421
2,0.10526315789473684,0.21052631578947367
3,0.15789473684210525,0.21052631578947367
4,0.21052631578947367,0.21052631578947367
5,0.2631578947368421,0.15789473684210525
6,0.3157894736842105,0.21052631578947367
7,0.3684210526315789,0.15789473684210525
8,0.42105263157894735,0.21052631578947367
9,0.47368421052631576,0.15789473684210525
10,0.5263157894736842,0.15789473684210525
11,0.5789473684210527,0.21052631578947367
12,0.631578947368421,0.15789473684210525
13,0.6842105263157894,0.15789473684210525
14,0.7368421052631579,0.15789473684210525
15,0.7894736842105263,0.15789473684210525
16,0.8421052631578947,0.21052631578947367
17,0.894736842105263,0.15789473684210525
18,0.9473684210526315,0.15789473684210525
19,1.0,0.15789473684210525
